actor_name,actor_imdb_url,award,year,outcome
Teyana Taylor,https://www.imdb.com/name/nm3692520/,"Academy Awards, USA — 2026 Nominee Oscar Best Performance by an Actress in a Supporting Role One Battle After Another",2026,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,BET Awards — 2023 Winner BET Award Video Director of the Year,2023,won
Teyana Taylor,https://www.imdb.com/name/nm3692520/,BAFTA Awards — 2026 Nominee BAFTA Film Award Best Supporting Actress One Battle After Another,2026,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Critics Choice Awards — 2026 Nominee Critics Choice Award Best Supporting Actress One Battle After Another,2026,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Chicago Film Critics Association Awards — 2025 Winner CFCA Award Best Supporting Actress One Battle After Another,2025,won
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Costume Designers Guild Awards — 2026 Winner Vanguard Spotlight Award,2026,won
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Dallas-Fort Worth Film Critics Association Awards — 2025 Winner DFWFCA Award Best Supporting Actress One Battle After Another,2025,won
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Florida Film Critics Circle Awards — 2025 Winner FFCC Award Best Supporting Actress One Battle After Another,2025,won
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Florida Film Critics Circle Awards — 2023 Nominee FFCC Award Best Actress A Thousand and One,2023,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,"Golden Globes, USA — 2026 Winner Golden Globe Best Performance by a Female Actor in a Supporting Role in Any Motion Picture One Battle After Another",2026,won
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Satellite Awards — 2026 Winner Satellite Award Best Actress in a Supporting Role One Battle After Another,2026,won
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Gotham Awards — 2025 Nominee Gotham Independent Film Award Outstanding Supporting Performance One Battle After Another,2025,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Gotham Awards — 2023 Nominee Gotham Independent Film Award Outstanding Lead Performance A Thousand and One,2023,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,"Grammy Awards — 2026 Nominee Grammy Best R&B Album For ""Escape Room""",2026,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Image Awards (NAACP) — 2026 Nominee Image Award Outstanding Supporting Actress in a Motion Picture One Battle After Another,2026,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Image Awards (NAACP) — 2026 Nominee Entertainer of the Year Award,2026,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,"Image Awards (NAACP) — 2026 Winner Image Award Outstanding Supporting Actress in a Limited Television (Series, Special, or Movie) Straw",2026,won
Teyana Taylor,https://www.imdb.com/name/nm3692520/,"Image Awards (NAACP) — 2026 Nominee Image Award Outstanding Female Artist For ""Escape Room""",2026,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Image Awards (NAACP) — 2024 Nominee Image Award Outstanding Actress in a Motion Picture A Thousand and One,2024,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Film Independent Spirit Awards — 2024 Nominee Independent Spirit Award Best Lead Performance A Thousand and One,2024,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Irish Film and Television Awards — 2026 Nominee IFTA Award Best International Actress One Battle After Another,2026,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Kansas City Film Critics Circle Awards — 2025 Nominee KCFCC Award Best Supporting Actress One Battle After Another,2025,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Las Vegas Film Critics Society Awards — 2025 Nominee Sierra Award Best Supporting Actress One Battle After Another,2025,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,London Critics Circle Film Awards — 2026 Nominee ALFS Award Supporting Actress of the Year One Battle After Another,2026,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Los Angeles Film Critics Association Awards — 2025 Winner LAFCA Award Best Supporting Performance One Battle After Another Tied with Stellan Skarsgård for Sentimental Value (2025),2025,won
Teyana Taylor,https://www.imdb.com/name/nm3692520/,"National Board of Review, USA — 2023 Winner NBR Award Breakthrough Performance A Thousand and One",2023,won
Teyana Taylor,https://www.imdb.com/name/nm3692520/,"National Society of Film Critics Awards, USA — 2026 Winner NSFC Award Best Supporting Actress One Battle After Another 56 points",2026,won
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Online Film Critics Society Awards — 2026 Nominee OFCS Award Best Supporting Actress One Battle After Another,2026,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,"People's Choice Awards, USA — 2022 Nominee People's Choice Award The Competition Contestant of 2022 The Masked Singer",2022,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,San Diego Film Critics Society Awards — 2025 Nominee SDFCS Award Best Supporting Actress One Battle After Another,2025,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Actor Awards — 2026 Nominee Actor Outstanding Performance by a Female Actor in a Supporting Role One Battle After Another,2026,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Actor Awards — 2026 Nominee Actor Outstanding Performance by a Cast in a Motion Picture One Battle After Another Shared with: Benicio Del Toro · Leonardo DiCaprio · Regina Hall · Chase Infiniti · Sean Penn,2026,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Southeastern Film Critics Association Awards — 2025 Nominee SEFCA Award Best Supporting Actress One Battle After Another 2nd place,2025,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Toronto Film Critics Association Awards — 2023 Winner TFCA Award Breakthrough Performance A Thousand and One,2023,won
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Vancouver Film Critics Circle — 2026 Nominee VFCC Award Best Supporting Female Actor One Battle After Another,2026,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Black Reel Awards — 2026 Nominee Black Reel Outstanding Supporting Performance One Battle After Another,2026,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Black Reel Awards — 2024 Nominee Black Reel Outstanding Lead Performance A Thousand and One,2024,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Black Reel Awards — 2024 Nominee Black Reel Outstanding Breakthrough Performance A Thousand and One,2024,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Phoenix Film Critics Society Awards — 2025 Winner PFCS Award Best Actress in a Supporting Role One Battle After Another,2025,won
Teyana Taylor,https://www.imdb.com/name/nm3692520/,"Capri, Hollywood — 2025 Winner Capri Supporting Actress Award One Battle After Another",2025,won
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Austin Film Critics Association — 2025 Nominee AFCA Award Best Supporting Actress One Battle After Another,2025,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,Washington DC Area Film Critics Association Awards — 2025 Winner WAFCA Award Best Supporting Actress One Battle After Another,2025,won
Teyana Taylor,https://www.imdb.com/name/nm3692520/,International Cinephile Society Awards — 2026 Nominee ICS Award Best Supporting Actress One Battle After Another,2026,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,International Cinephile Society Awards — 2024 Nominee ICS Award Best Actress A Thousand and One 2nd place,2024,nominated
Teyana Taylor,https://www.imdb.com/name/nm3692520/,"North Texas Film Critics Association, US — 2025 Nominee NTFCA Award Best Supporting Actress One Battle After Another",2025,nominated
