award_show,count
Actor Awards,2790
Gold Derby Awards,2372
Online Film & Television Association,2195
Primetime Emmy Awards,1644
Satellite Awards,1460
"Golden Globes, USA",1430
BAFTA Awards,1208
Critics Choice Awards,1134
Awards Circuit Community Awards,1072
CinEuphoria Awards,964
"Academy Awards, USA",904
"Academy of Science Fiction, Fantasy & Horror Films, USA",878
Teen Choice Awards,825
MTV Movie + TV Awards,784
Chicago Film Critics Association Awards,728
International Online Cinema Awards (INOCA),717
Phoenix Film Critics Society Awards,711
Alliance of Women Film Journalists,708
London Critics Circle Film Awards,654
Film Independent Spirit Awards,653
Washington DC Area Film Critics Association Awards,612
San Diego Film Critics Society Awards,604
Online Film Critics Society Awards,603
Behind the Voice Actors Awards,601
"People's Choice Awards, USA",574
Image Awards (NAACP),570
Golden Schmoes Awards,566
Young Artist Awards,560
"Indiana Film Journalists Association, US",519
Gotham Awards,510
Grammy Awards,504
Dallas-Fort Worth Film Critics Association Awards,494
Central Ohio Film Critics Association,480
"St. Louis Film Critics Association, US",466
Black Reel Awards,447
Chlotrudis Awards,434
AARP Movies for Grownups Awards,429
Georgia Film Critics Association (GAFCA),407
Las Vegas Film Critics Society Awards,399
"National Society of Film Critics Awards, USA",399
Houston Film Critics Society Awards,391
Florida Film Critics Circle Awards,381
Women Film Critics Circle Awards,378
"National Board of Review, USA",358
Razzie Awards,357
Denver Film Critics Society,350
Dorian Film Awards,348
Indiewire Critics' Poll,346
Boston Society of Film Critics Awards,343
Detroit Film Critics Society Awards,335
British Independent Film Awards,331
Village Voice Film Poll,330
Vancouver Film Critics Circle,328
New York Film Critics Circle Awards,322
Austin Film Critics Association,321
Irish Film and Television Awards,317
North Carolina Film Critics Association,316
Fangoria Chainsaw Awards,307
International Cinephile Society Awards,295
"Kids' Choice Awards, USA",294
Palm Springs International Film Festival,291
"Empire Awards, UK",288
Southeastern Film Critics Association Awards,285
Los Angeles Film Critics Association Awards,278
AACTA International Awards,275
Dublin Film Critics Circle Awards,273
Jupiter Award,270
Black Reel Awards for Television,269
Toronto Film Critics Association Awards,269
Hawaii Film Critics Society,267
PGA Awards,264
Latino Entertainment Journalists Association Film Awards,253
Daytime Emmy Awards,252
Kansas City Film Critics Circle Awards,248
"North Texas Film Critics Association, US",247
Utah Film Critics Association Awards,247
Columbus Film Critics Association,243
Hollywood Film Awards,243
Italian Online Movie Awards (IOMA),241
Blockbuster Entertainment Awards,239
Cannes Film Festival,236
Chicago Indie Critics Awards (CIC),231
Seattle Film Critics Society,230
Critics Choice Television Awards,228
Santa Barbara International Film Festival,222
Phoenix Critics Circle,221
"Writers Guild of America, USA",220
IGN Summer Movie Awards,218
North Dakota Film Society,218
Critics Choice Super Awards,217
Astra Television Awards,214
European Film Awards,207
Online Association of Female Film Critics,204
The Stinkers Bad Movie Awards,203
Music City Film Critics' Association Awards,200
"César Awards, France",198
Venice Film Festival,198
Australian Film Institute,197
CableACE Awards,192
Walk of Fame,188
"New York Film Critics, Online",181
Australian Academy of Cinema and Television Arts (AACTA) Awards,178
Iowa Film Critics Awards,177
Greater Western New York Film Critics Association Awards,174
BET Awards,166
Monte-Carlo TV Festival,166
Gemini Awards,160
DiscussingFilm Critic Awards,158
VHS Awards,158
"National Film Awards, UK",157
San Francisco Film Critics Circle,155
Berlin International Film Festival,154
"Directors Guild of America, USA",152
Independent Shorts Awards,152
Taurus World Stunt Awards,151
The BAM Awards,151
Evening Standard British Film Awards,147
"American Comedy Awards, USA",145
Scream Awards,145
Seattle Film Critics Awards,145
"Canadian Screen Awards, CA",144
Oklahoma Film Critics Circle Awards,142
20/20 Awards,140
Film Critics Circle of Australia Awards,140
David di Donatello Awards,139
MTV Video Music Awards (VMA),139
San Francisco Bay Area Film Critics Circle,139
Indie Short Fest,138
Imagen Foundation Awards,137
Women's Image Network Awards,136
Minnesota Film Critics Alliance Awards,135
"Capri, Hollywood",134
Hollywood Critics Association,134
Annie Awards,133
Hollywood Critics Association Television Awards,133
Photoplay Awards,133
Television Critics Association Awards,126
Astra Film Awards,124
"Royal Television Society, UK",124
Russian National Movie Awards,122
C&I Movie and TV Awards,117
IndieX Film Festival,117
International Catholic Film Critics Association,116
Fright Meter Awards,114
ALMA Awards,111
Broadcasting Press Guild Awards,111
Logie Awards,111
Voice Arts Awards,111
Hollywood Music In Media Awards (HMMA),108
Portland Critics Association Awards,108
Brazil Online Film Award,107
Odyssey Awards,106
"ShoWest Convention, USA",106
Bravo Otto,105
"Action on Film International Film Festival, USA",104
German Film Awards,104
Black Film Critics Circle Awards,103
Sant Jordi Awards,102
"SESC Film Festival, Brazil",101
Leo Awards,99
Western Heritage Awards,99
Nevada Film Critics Society,98
Accolade Competition,97
The Equity Ensemble Awards,96
Blogos de Oro,95
DVD Exclusive Awards,95
Genie Awards,95
Italian National Syndicate of Film Journalists,95
Sundance Film Festival,92
Sitges - Catalonian International Film Festival,89
Días de Cine Awards,88
Los Angeles Film Awards,88
New Mexico Film Critics,88
TV Land Awards,85
American Music Awards,84
The Queerties,84
Bambi Awards,82
Bodil Awards,82
Laurel Awards,82
Australian Film Critics Association Awards,81
African-American Film Critics Association (AAFCA),79
Idyllwild International Festival of Cinema,79
"Lumiere Awards, France",79
Michigan Movie Critics Guild Awards,79
Yoga Awards,79
TV Guide Awards,78
Viewers for Quality Television Awards,78
Danish Film Awards (Robert),77
"Golden Camera, Germany",77
Oniros Film Awards,76
Prism Awards,76
Red Nation Film Festival,76
"BAFTA Awards, Scotland",75
Young Hollywood Awards,75
Chicago International Film Festival,74
Hollywood Critics Association Midseason Awards,74
International Online Film Critics' Poll,74
MTV Europe Music Awards,74
Top Shorts Film Festival,74
San Sebastián International Film Festival,73
Dorian TV Awards,72
Huading Award,72
Hugo Awards,71
NAVGTR Awards,71
Philadelphia Film Critics Circle Awards,71
Cinema Brazil Grand Prize,70
YoungStar Awards,70
UK Film Critics Association Awards,69
News & Documentary Emmy Awards,67
Vegas Movie Awards,67
Visual Effects Society Awards,66
iHeartRadio Music Awards,65
Bare Bones International Film & Music Festival,64
SXSW Film Festival,64
Girls on Film Awards,63
ACTRA Awards,62
"CinemaCon, USA",62
IndieFEST Film Awards,62
"Amanda Awards, Norway",61
Savannah Film Festival,61
Best Shorts Competition,59
Boston Online Film Critics Association,59
Los Angeles Online Film Critics Society Awards,59
NAMIC Vision Awards,59
Seattle International Film Festival,59
Atlanta Film Critics Circle,58
Children's & Family Emmy Awards,58
Critics Association of Central Florida Awards,56
Indie Series Awards,56
Sunset Film Circle Awards,56
Young Entertainer Awards,56
Acapulco Black Film Festival,55
German Television Awards,55
Maverick Movie Awards,55
Prêmio Guarani,55
Locarno Film Festival,54
The Webby Awards,54
Chicago Independent Film Critics Circle Awards,53
iHeartRadio Much Music Video Awards,53
Soap Opera Digest Awards,52
MovieGuide Awards,51
Russian Guild of Film Critics,51
Top Indie Film Awards,51
World Soundtrack Awards,51
American Indian Film Festival,50
Deauville Film Festival,50
Digital Spy Reader Awards,50
Elle Women in Hollywood Awards,50
Gracie Allen Awards,50
Hamptons International Film Festival,50
"Romy Gala, Austria",50
Tribeca Film Festival,50
WorldFest Houston,50
Rondo Hatton Classic Horror Awards,49
German Screen Actors Awards,48
Grimme Award,48
"National Film and Television Awards, USA",48
Toronto International Film Festival,48
"Cinema Bloggers Awards, Portugal",47
"Crime Thriller Awards, UK",47
Gotham TV Awards,47
Guinness World Record Award,47
MTV Video Music Awards Japan,47
Fantasporto,46
Hollywood Gold Awards,46
New York International Film Awards,46
Stockholm Film Festival,46
Camerimage,45
"Hasty Pudding Theatricals, USA",45
Peabody Awards,45
USC Scripter Award,45
Festigious International Film Festival,44
FilmQuest,44
Florence Film Awards,44
Newport Beach Film Festival,44
"Ariel Awards, Mexico",43
Christopher Awards,43
Valladolid International Film Festival,43
International Emmy Awards,42
Critics Choice Awards Celebration of Cinema & Television,41
Gijón International Film Festival,41
Humanitas Prize,41
"Prêmio Contigo, Brazil",41
Art Directors Guild,40
British Comedy Awards,40
"Cinema Writers Circle Awards, Spain",40
Independent Horror Movie Awards,40
Method Fest,40
Awards of the Israeli Film Academy,39
Críticos de Cinema Online Portugueses Awards,39
Family Film Awards,39
Golden Apple Awards,39
