year,film_title,actor_name,actor_imdb_url,maj_academy_awards_usa_noms,maj_academy_awards_usa_wins,maj_bafta_awards_noms,maj_bafta_awards_wins,maj_golden_globes_usa_noms,maj_golden_globes_usa_wins,maj_actor_awards_noms,maj_actor_awards_wins,maj_directors_guild_of_america_usa_noms,maj_directors_guild_of_america_usa_wins,maj_writers_guild_of_america_usa_noms,maj_writers_guild_of_america_usa_wins,maj_pga_awards_noms,maj_pga_awards_wins,maj_critics_choice_awards_noms,maj_critics_choice_awards_wins,maj_film_independent_spirit_awards_noms,maj_film_independent_spirit_awards_wins,maj_satellite_awards_noms,maj_satellite_awards_wins,grp_prediction_online_noms,grp_prediction_online_wins,grp_us_regional_critics_noms,grp_us_regional_critics_wins,grp_national_critics_noms,grp_national_critics_wins,grp_international_film_noms,grp_international_film_wins,grp_major_festival_noms,grp_major_festival_wins,grp_television_noms,grp_television_wins,grp_audience_pop_noms,grp_audience_pop_wins,grp_genre_noms,grp_genre_wins,grp_voice_or_animation_noms,grp_voice_or_animation_wins,grp_negative_noms,grp_negative_wins,grp_other_noms,grp_other_wins
2026,One Battle After Another,Teyana Taylor,https://www.imdb.com/name/nm3692520/,1,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,28,7,2,4,0,0,0,0,2,2,6,3,0,0,0,0,0,0,27,6
2026,One Battle After Another,Leonardo DiCaprio,https://www.imdb.com/name/nm0000138/,4,1,4,1,4,1,5,0,0,0,0,0,0,0,3,2,0,0,4,1,22,7,85,25,17,8,9,1,0,12,13,7,12,6,5,2,0,0,2,1,53,26
2026,One Battle After Another,Regina Hall,https://www.imdb.com/name/nm0356021/,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,7,3,2,1,0,0,0,4,6,1,5,1,0,1,0,0,1,0,11,4
2026,One Battle After Another,Wood Harris,https://www.imdb.com/name/nm0365445/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0
2026,One Battle After Another,Alana Haim,https://www.imdb.com/name/nm6076229/,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,1,15,11,2,2,0,0,0,1,1,1,1,0,1,0,0,0,0,0,13,1
2026,One Battle After Another,Shayna McHayle,https://www.imdb.com/name/nm8973640/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,One Battle After Another,Paul Grimstad,https://www.imdb.com/name/nm2563293/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,One Battle After Another,Dijon Duenas,https://www.imdb.com/name/nm17701772/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2026,One Battle After Another,Brooklyn Demme,https://www.imdb.com/name/nm2897664/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,One Battle After Another,Sachi Diserafino,https://www.imdb.com/name/nm17694662/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,One Battle After Another,Melissa Dueñas,https://www.imdb.com/name/nm10950813/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,One Battle After Another,Sean Penn,https://www.imdb.com/name/nm0000576/,2,3,3,1,4,1,3,2,1,0,1,0,0,1,2,3,2,2,5,0,15,4,43,25,12,9,3,1,7,14,6,2,1,0,2,1,0,0,2,0,35,22
2026,One Battle After Another,Starletta DuPois,https://www.imdb.com/name/nm0210915/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2026,One Battle After Another,Vanessa Ganter,https://www.imdb.com/name/nm17694661/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,One Battle After Another,Otillia Gupta,https://www.imdb.com/name/nm17695096/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,One Battle After Another,Nia Leon,https://www.imdb.com/name/nm17695078/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,One Battle After Another,Peter N. Lyas III,https://www.imdb.com/name/nm17695103/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
