title,url,year,critics_choice_nom,critics_choice_win,bafta_nom,bafta_win,golden_globes_nom,golden_globes_win,pga_nom,pga_win,sag_nom,sag_win,oscar_win
One Battle After Another,https://www.imdb.com/title/tt30144839/?ref_=ev_csegosc_nom,2026,1,1,1,1,1,1,1,1,1,0,1
F1: The Movie,https://www.imdb.com/title/tt16311594/?ref_=ev_csegosc_nom,2026,0,0,0,0,0,0,1,0,0,0,0
Frankenstein,https://www.imdb.com/title/tt1312221/?ref_=ev_csegosc_nom,2026,1,0,0,0,1,0,1,0,1,0,0
Hamnet,https://www.imdb.com/title/tt14905854/?ref_=ev_csegosc_nom,2026,1,0,1,0,1,1,1,0,1,0,0
Marty Supreme,https://www.imdb.com/title/tt32916440/?ref_=ev_csegosc_nom,2026,1,0,1,0,1,0,1,0,1,0,0
Sentimental Value,https://www.imdb.com/title/tt27714581/?ref_=ev_csegosc_nom,2026,1,0,1,0,1,0,1,0,0,0,0
Sinners,https://www.imdb.com/title/tt31193180/?ref_=ev_csegosc_nom,2026,1,0,1,0,1,0,1,0,1,1,0
Train Dreams,https://www.imdb.com/title/tt29768334/?ref_=ev_csegosc_nom,2026,1,0,0,0,0,0,1,0,0,0,0
The Secret Agent,https://www.imdb.com/title/tt27847051/?ref_=ev_csegosc_nom,2026,0,0,0,0,1,0,0,0,0,0,0
Bugonia,https://www.imdb.com/title/tt12300742/?ref_=ev_csegosc_nom,2026,1,0,0,0,1,0,1,0,0,0,0
Anora,https://www.imdb.com/title/tt28607951/?ref_=ev_csegosc_nom,2025,1,1,1,0,1,0,1,1,1,0,1
Wicked,https://www.imdb.com/title/tt1262426/?ref_=ev_csegosc_nom,2025,1,0,0,0,1,0,1,0,1,0,0
The Substance,https://www.imdb.com/title/tt17526714/?ref_=ev_csegosc_nom,2025,1,0,0,0,1,0,1,0,0,0,0
Conclave,https://www.imdb.com/title/tt20215234/?ref_=ev_csegosc_nom,2025,1,0,1,1,1,0,1,0,1,1,0
The Brutalist,https://www.imdb.com/title/tt8999762/?ref_=ev_csegosc_nom,2025,1,0,1,0,1,1,1,0,0,0,0
Dune: Part Two,https://www.imdb.com/title/tt15239678/?ref_=ev_csegosc_nom,2025,1,0,0,0,1,0,1,0,0,0,0
Emilia Pérez,https://www.imdb.com/title/tt20221436/?ref_=ev_csegosc_nom,2025,1,0,1,0,1,1,1,0,1,0,0
Nickel Boys,https://www.imdb.com/title/tt23055660/?ref_=ev_csegosc_nom,2025,1,0,0,0,1,0,0,0,0,0,0
A Complete Unknown,https://www.imdb.com/title/tt11563598/?ref_=ev_csegosc_nom,2025,1,0,1,0,1,0,1,0,1,0,0
I'm Still Here,https://www.imdb.com/title/tt14961016/?ref_=ev_csegosc_nom,2025,0,0,0,0,0,0,0,0,0,0,0
Oppenheimer,https://www.imdb.com/title/tt15398776/?ref_=ev_csegosc_nom,2024,1,1,1,1,1,1,1,1,1,1,1
Barbie,https://www.imdb.com/title/tt1517268/?ref_=ev_csegosc_nom,2024,1,0,0,0,0,0,1,0,1,0,0
Killers of the Flower Moon,https://www.imdb.com/title/tt5537002/?ref_=ev_csegosc_nom,2024,1,0,1,0,1,0,1,0,1,0,0
Poor Things,https://www.imdb.com/title/tt14230458/?ref_=ev_csegosc_nom,2024,1,0,1,0,0,0,1,0,0,0,0
The Holdovers,https://www.imdb.com/title/tt14849194/?ref_=ev_csegosc_nom,2024,1,0,1,0,0,0,1,0,0,0,0
Anatomy of a Fall,https://www.imdb.com/title/tt17009710/?ref_=ev_csegosc_nom,2024,0,0,1,0,1,0,1,0,0,0,0
Past Lives,https://www.imdb.com/title/tt13238346/?ref_=ev_csegosc_nom,2024,1,0,0,0,1,0,1,0,0,0,0
Maestro,https://www.imdb.com/title/tt5535276/?ref_=ev_csegosc_nom,2024,1,0,0,0,1,0,1,0,0,0,0
The Zone of Interest,https://www.imdb.com/title/tt7160372/?ref_=ev_csegosc_nom,2024,0,0,0,0,1,0,1,0,0,0,0
American Fiction,https://www.imdb.com/title/tt23561236/?ref_=ev_csegosc_nom,2024,1,0,0,0,0,0,1,0,1,0,0
Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/?ref_=ev_csegosc_nom,2023,1,1,1,0,1,0,1,1,1,1,1
Elvis,https://www.imdb.com/title/tt3704428/?ref_=ev_csegosc_nom,2023,1,0,1,0,1,0,1,0,0,0,0
Top Gun: Maverick,https://www.imdb.com/title/tt1745960/?ref_=ev_csegosc_nom,2023,1,0,0,0,1,0,1,0,0,0,0
The Banshees of Inisherin,https://www.imdb.com/title/tt11813216/?ref_=ev_csegosc_nom,2023,1,0,1,0,1,1,1,0,1,0,0
The Fabelmans,https://www.imdb.com/title/tt14208870/?ref_=ev_csegosc_nom,2023,1,0,0,0,1,1,1,0,1,0,0
Tár,https://www.imdb.com/title/tt14444726/?ref_=ev_csegosc_nom,2023,1,0,1,0,1,0,1,0,0,0,0
Avatar: The Way of Water,https://www.imdb.com/title/tt1630029/?ref_=ev_csegosc_nom,2023,1,0,0,0,1,0,1,0,0,0,0
Women Talking,https://www.imdb.com/title/tt13669038/?ref_=ev_csegosc_nom,2023,1,0,0,0,0,0,0,0,1,0,0
Triangle of Sadness,https://www.imdb.com/title/tt7322224/?ref_=ev_csegosc_nom,2023,0,0,0,0,1,0,0,0,0,0,0
All Quiet on the Western Front,https://www.imdb.com/title/tt1016150/?ref_=ev_csegosc_nom,2023,0,0,1,1,0,0,0,0,0,0,0
CODA,https://www.imdb.com/title/tt10366460/?ref_=ev_csegosc_nom,2022,1,0,0,0,1,0,1,1,1,1,1
Belfast,https://www.imdb.com/title/tt12789558/?ref_=ev_csegosc_nom,2022,1,0,1,0,1,0,1,0,1,0,0
West Side Story,https://www.imdb.com/title/tt3581652/?ref_=ev_csegosc_nom,2022,1,0,0,0,1,1,1,0,0,0,0
Licorice Pizza,https://www.imdb.com/title/tt11271038/?ref_=ev_csegosc_nom,2022,1,0,1,0,1,0,1,0,0,0,0
Dune: Part One,https://www.imdb.com/title/tt1160419/?ref_=ev_csegosc_nom,2022,1,0,1,0,1,0,1,0,0,0,0
The Power of the Dog,https://www.imdb.com/title/tt10293406/?ref_=ev_csegosc_nom,2022,1,1,1,1,1,1,1,0,0,0,0
King Richard,https://www.imdb.com/title/tt9620288/?ref_=ev_csegosc_nom,2022,1,0,0,0,1,0,1,0,1,0,0
Drive My Car,https://www.imdb.com/title/tt14039582/?ref_=ev_csegosc_nom,2022,0,0,0,0,0,0,0,0,0,0,0
Don't Look Up,https://www.imdb.com/title/tt11286314/?ref_=ev_csegosc_nom,2022,1,0,1,0,1,0,1,0,1,1,0
Nightmare Alley,https://www.imdb.com/title/tt7740496/?ref_=ev_csegosc_nom,2022,1,0,0,0,0,0,0,0,0,0,0
Nomadland,https://www.imdb.com/title/tt9770150/?ref_=ev_csegosc_nom,2021,1,1,1,1,1,1,1,1,0,0,1
Mank,https://www.imdb.com/title/tt10618286/?ref_=ev_csegosc_nom,2021,1,0,0,0,1,0,1,0,0,0,0
The Trial of the Chicago 7,https://www.imdb.com/title/tt1070874/?ref_=ev_csegosc_nom,2021,1,0,1,0,1,0,1,0,1,1,0
Promising Young Woman,https://www.imdb.com/title/tt9620292/?ref_=ev_csegosc_nom,2021,1,0,1,0,1,0,1,0,0,0,0
Minari,https://www.imdb.com/title/tt10633456/?ref_=ev_csegosc_nom,2021,1,0,0,0,0,0,1,0,1,0,0
Sound of Metal,https://www.imdb.com/title/tt5363618/?ref_=ev_csegosc_nom,2021,1,0,0,0,0,0,1,0,0,0,0
Judas and the Black Messiah,https://www.imdb.com/title/tt9784798/?ref_=ev_csegosc_nom,2021,0,0,0,0,0,0,1,0,0,0,0
The Father,https://www.imdb.com/title/tt10272386/?ref_=ev_csegosc_nom,2021,0,0,1,0,1,0,0,0,0,0,0
Parasite,https://www.imdb.com/title/tt6751668/?ref_=ev_csegosc_nom,2020,1,0,1,0,0,0,1,0,1,1,1
Once Upon a Time... in Hollywood,https://www.imdb.com/title/tt7131622/?ref_=ev_csegosc_nom,2020,1,1,1,0,1,1,1,0,1,0,0
1917,https://www.imdb.com/title/tt8579674/?ref_=ev_csegosc_nom,2020,1,0,1,1,1,1,1,1,0,0,0
Marriage Story,https://www.imdb.com/title/tt7653254/?ref_=ev_csegosc_nom,2020,1,0,0,0,1,0,1,0,0,0,0
Joker,https://www.imdb.com/title/tt7286456/?ref_=ev_csegosc_nom,2020,1,0,1,0,1,0,1,0,0,0,0
Jojo Rabbit,https://www.imdb.com/title/tt2584384/?ref_=ev_csegosc_nom,2020,1,0,0,0,1,0,1,0,1,0,0
Little Women,https://www.imdb.com/title/tt3281548/?ref_=ev_csegosc_nom,2020,1,0,0,0,0,0,1,0,0,0,0
Ford v Ferrari,https://www.imdb.com/title/tt1950186/?ref_=ev_csegosc_nom,2020,1,0,0,0,0,0,1,0,0,0,0
The Irishman,https://www.imdb.com/title/tt1302006/?ref_=ev_csegosc_nom,2020,1,0,1,0,1,0,1,0,1,0,0
Green Book,https://www.imdb.com/title/tt6966692/?ref_=ev_csegosc_nom,2019,1,0,1,0,1,1,1,1,0,0,1
BlacKkKlansman,https://www.imdb.com/title/tt7349662/?ref_=ev_csegosc_nom,2019,1,0,1,0,1,0,1,0,1,0,0
Black Panther,https://www.imdb.com/title/tt1825683/?ref_=ev_csegosc_nom,2019,1,0,0,0,1,0,1,0,1,1,0
Bohemian Rhapsody,https://www.imdb.com/title/tt1727824/?ref_=ev_csegosc_nom,2019,0,0,0,0,1,1,1,0,1,0,0
The Favourite,https://www.imdb.com/title/tt5083738/?ref_=ev_csegosc_nom,2019,1,0,1,0,1,0,1,0,0,0,0
Roma,https://www.imdb.com/title/tt6155172/?ref_=ev_csegosc_nom,2019,1,1,1,1,0,0,1,0,0,0,0
A Star Is Born,https://www.imdb.com/title/tt1517451/?ref_=ev_csegosc_nom,2019,1,0,1,0,1,0,1,0,1,0,0
Vice,https://www.imdb.com/title/tt6266538/?ref_=ev_csegosc_nom,2019,1,0,0,0,1,0,1,0,0,0,0
The Shape of Water,https://www.imdb.com/title/tt5580390/?ref_=ev_csegosc_nom,2018,1,1,1,0,1,0,1,1,0,0,1
Call Me by Your Name,https://www.imdb.com/title/tt5726616/?ref_=ev_csegosc_nom,2018,1,0,1,0,1,0,1,0,0,0,0
Darkest Hour,https://www.imdb.com/title/tt4555426/?ref_=ev_csegosc_nom,2018,1,0,1,0,0,0,0,0,0,0,0
Dunkirk,https://www.imdb.com/title/tt5013056/?ref_=ev_csegosc_nom,2018,1,0,1,0,1,0,1,0,0,0,0
Get Out,https://www.imdb.com/title/tt5052448/?ref_=ev_csegosc_nom,2018,1,0,0,0,1,0,1,0,1,0,0
Lady Bird,https://www.imdb.com/title/tt4925292/?ref_=ev_csegosc_nom,2018,1,0,0,0,1,1,1,0,1,0,0
The Post,https://www.imdb.com/title/tt6294822/?ref_=ev_csegosc_nom,2018,1,0,0,0,1,0,1,0,0,0,0
"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/?ref_=ev_csegosc_nom,2018,1,0,1,1,1,1,1,0,1,1,0
Phantom Thread,https://www.imdb.com/title/tt5776858/?ref_=ev_csegosc_nom,2018,0,0,0,0,0,0,0,0,0,0,0
Moonlight,https://www.imdb.com/title/tt4975722/?ref_=ev_csegosc_nom,2017,1,0,1,0,1,1,1,0,1,0,1
Arrival,https://www.imdb.com/title/tt2543164/?ref_=ev_csegosc_nom,2017,1,0,1,0,0,0,1,0,0,0,0
Fences,https://www.imdb.com/title/tt2671706/?ref_=ev_csegosc_nom,2017,1,0,0,0,0,0,1,0,1,0,0
Hacksaw Ridge,https://www.imdb.com/title/tt2119532/?ref_=ev_csegosc_nom,2017,1,0,0,0,1,0,1,0,0,0,0
Hell or High Water,https://www.imdb.com/title/tt2582782/?ref_=ev_csegosc_nom,2017,1,0,0,0,1,0,1,0,0,0,0
Hidden Figures,https://www.imdb.com/title/tt4846340/?ref_=ev_csegosc_nom,2017,0,0,0,0,0,0,1,0,1,1,0
La La Land,https://www.imdb.com/title/tt3783958/?ref_=ev_csegosc_nom,2017,1,1,1,1,1,1,1,1,0,0,0
Lion,https://www.imdb.com/title/tt3741834/?ref_=ev_csegosc_nom,2017,1,0,0,0,1,0,1,0,0,0,0
Manchester by the Sea,https://www.imdb.com/title/tt4034228/?ref_=ev_csegosc_nom,2017,1,0,1,0,1,0,1,0,1,0,0
Spotlight,https://www.imdb.com/title/tt1895587/?ref_=ev_csegosc_nom,2016,1,1,1,0,1,0,1,0,1,1,1
The Revenant,https://www.imdb.com/title/tt1663202/?ref_=ev_csegosc_nom,2016,1,0,1,1,1,1,1,0,0,0,0
Room,https://www.imdb.com/title/tt3170832/?ref_=ev_csegosc_nom,2016,1,0,0,0,1,0,0,0,0,0,0
Brooklyn,https://www.imdb.com/title/tt2381111/?ref_=ev_csegosc_nom,2016,1,0,0,0,0,0,1,0,0,0,0
Bridge of Spies,https://www.imdb.com/title/tt3682448/?ref_=ev_csegosc_nom,2016,1,0,1,0,0,0,1,0,0,0,0
The Martian,https://www.imdb.com/title/tt3659388/?ref_=ev_csegosc_nom,2016,1,0,0,0,0,0,1,0,0,0,0
Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/?ref_=ev_csegosc_nom,2016,1,0,0,0,1,0,1,0,0,0,0
The Big Short,https://www.imdb.com/title/tt1596363/?ref_=ev_csegosc_nom,2016,1,0,1,0,0,0,1,1,1,0,0
Birdman or (The Unexpected Virtue of Ignorance),https://www.imdb.com/title/tt2562232/?ref_=ev_csegosc_nom,2015,1,0,1,0,0,0,1,1,1,1,1
American Sniper,https://www.imdb.com/title/tt2179136/?ref_=ev_csegosc_nom,2015,0,0,0,0,0,0,1,0,0,0,0
Boyhood,https://www.imdb.com/title/tt1065073/?ref_=ev_csegosc_nom,2015,1,1,1,1,1,1,1,0,1,0,0
The Imitation Game,https://www.imdb.com/title/tt2084970/?ref_=ev_csegosc_nom,2015,1,0,1,0,1,0,1,0,1,0,0
The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/?ref_=ev_csegosc_nom,2015,1,0,1,0,0,0,1,0,1,0,0
Selma,https://www.imdb.com/title/tt1020072/?ref_=ev_csegosc_nom,2015,1,0,0,0,1,0,0,0,0,0,0
The Theory of Everything,https://www.imdb.com/title/tt2980516/?ref_=ev_csegosc_nom,2015,1,0,1,0,1,0,1,0,1,0,0
Whiplash,https://www.imdb.com/title/tt2582802/?ref_=ev_csegosc_nom,2015,1,0,0,0,0,0,1,0,0,0,0
12 Years a Slave,https://www.imdb.com/title/tt2024544/?ref_=ev_nom,2014,1,1,1,1,1,1,1,1,1,0,1
The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/?ref_=ev_csegosc_nom,2014,1,0,0,0,0,0,1,0,0,0,0
American Hustle,https://www.imdb.com/title/tt1800241/?ref_=ev_csegosc_nom,2014,1,0,1,0,0,0,1,0,1,1,0
Nebraska,https://www.imdb.com/title/tt1821549/?ref_=ev_csegosc_nom,2014,1,0,0,0,0,0,1,0,0,0,0
Captain Phillips,https://www.imdb.com/title/tt1535109/?ref_=ev_csegosc_nom,2014,1,0,1,0,1,0,1,0,0,0,0
Philomena,https://www.imdb.com/title/tt2431286/?ref_=ev_csegosc_nom,2014,0,0,1,0,1,0,0,0,0,0,0
Dallas Buyers Club,https://www.imdb.com/title/tt0790636/?ref_=ev_csegosc_nom,2014,1,0,0,0,0,0,1,0,1,0,0
Gravity,https://www.imdb.com/title/tt1454468/?ref_=ev_csegosc_nom,2014,1,0,1,0,1,0,1,1,0,0,0
Her,https://www.imdb.com/title/tt1798709/?ref_=ev_csegosc_nom,2014,1,0,0,0,0,0,1,0,0,0,0
Argo,https://www.imdb.com/title/tt1024648/?ref_=ev_csegosc_nom,2013,1,1,1,1,1,1,1,1,1,1,1
Amour,https://www.imdb.com/title/tt1602620/?ref_=ev_csegosc_nom,2013,0,0,1,1,0,0,0,0,0,0,0
Beasts of the Southern Wild,https://www.imdb.com/title/tt2125435/?ref_=ev_csegosc_nom,2013,1,0,0,0,0,0,1,0,0,0,0
Django Unchained,https://www.imdb.com/title/tt1853728/?ref_=ev_csegosc_nom,2013,1,0,0,0,1,0,1,0,0,0,0
Les Misérables,https://www.imdb.com/title/tt1707386/?ref_=ev_csegosc_nom,2013,1,0,1,0,0,0,1,0,1,0,0
Life of Pi,https://www.imdb.com/title/tt0454876/?ref_=ev_csegosc_nom,2013,1,0,1,0,1,0,1,0,0,0,0
Lincoln,https://www.imdb.com/title/tt0443272/?ref_=ev_csegosc_nom,2013,1,0,1,0,1,0,1,0,1,0,0
Silver Linings Playbook,https://www.imdb.com/title/tt1045658/?ref_=ev_csegosc_nom,2013,1,0,0,0,0,0,1,0,1,0,0
Zero Dark Thirty,https://www.imdb.com/title/tt1790885/?ref_=ev_csegosc_nom,2013,1,0,1,0,1,0,1,0,0,0,0
The Artist,https://www.imdb.com/title/tt1655442/?ref_=ev_csegosc_nom,2012,1,1,1,1,0,0,1,1,1,0,1
The Tree of Life,https://www.imdb.com/title/tt0478304/?ref_=ev_csegosc_nom,2012,1,0,0,0,0,0,0,0,0,0,0
