title,url,year,critics_choice_nom,critics_choice_win,bafta_nom,bafta_win,golden_globes_nom,golden_globes_win,pga_nom,pga_win,sag_nom,sag_win,oscar_win,cast_row_count,maj_academy_awards_usa_noms,maj_academy_awards_usa_wins,maj_bafta_awards_noms,maj_bafta_awards_wins,maj_golden_globes_usa_noms,maj_golden_globes_usa_wins,maj_actor_awards_noms,maj_actor_awards_wins,maj_directors_guild_of_america_usa_noms,maj_directors_guild_of_america_usa_wins,maj_writers_guild_of_america_usa_noms,maj_writers_guild_of_america_usa_wins,maj_pga_awards_noms,maj_pga_awards_wins,maj_critics_choice_awards_noms,maj_critics_choice_awards_wins,maj_film_independent_spirit_awards_noms,maj_film_independent_spirit_awards_wins,maj_satellite_awards_noms,maj_satellite_awards_wins,grp_prediction_online_noms,grp_prediction_online_wins,grp_us_regional_critics_noms,grp_us_regional_critics_wins,grp_national_critics_noms,grp_national_critics_wins,grp_international_film_noms,grp_international_film_wins,grp_major_festival_noms,grp_major_festival_wins,grp_television_noms,grp_television_wins,grp_audience_pop_noms,grp_audience_pop_wins,grp_genre_noms,grp_genre_wins,grp_voice_or_animation_noms,grp_voice_or_animation_wins,grp_negative_noms,grp_negative_wins,grp_other_noms,grp_other_wins
One Battle After Another,https://www.imdb.com/title/tt30144839/?ref_=ev_csegosc_nom,2026,1,1,1,1,1,1,1,1,1,0,1,154,9,5,14,3,12,4,28,5,1,0,5,1,0,1,14,5,6,7,16,3,68,21,233,114,44,35,17,2,21,55,44,19,34,15,11,8,1,0,8,1,198,112
F1: The Movie,https://www.imdb.com/title/tt16311594/?ref_=ev_csegosc_nom,2026,0,0,0,0,0,0,1,0,0,0,0,128,7,3,9,4,11,2,14,9,0,0,0,0,2,3,13,2,3,3,10,2,36,14,80,62,9,20,8,4,15,48,41,22,27,5,11,3,0,0,6,1,136,132
Frankenstein,https://www.imdb.com/title/tt1312221/?ref_=ev_csegosc_nom,2026,1,0,0,0,1,0,1,0,1,0,0,77,1,2,5,3,6,3,14,4,0,0,1,0,0,0,1,3,2,1,5,3,41,23,79,39,16,12,11,4,13,34,36,16,11,5,17,8,3,0,0,0,141,83
Hamnet,https://www.imdb.com/title/tt14905854/?ref_=ev_csegosc_nom,2026,1,0,1,0,1,1,1,0,1,0,0,36,4,1,10,3,6,1,10,2,0,0,0,0,0,0,7,2,3,2,7,2,22,18,78,40,27,12,19,6,0,14,38,14,2,1,7,2,0,0,0,0,89,33
Marty Supreme,https://www.imdb.com/title/tt32916440/?ref_=ev_csegosc_nom,2026,1,0,1,0,1,0,1,0,1,0,0,165,9,1,12,0,11,2,18,3,2,0,10,1,2,1,7,1,8,3,9,2,39,9,122,41,26,14,4,2,59,81,47,12,28,5,13,1,1,0,3,1,148,116
Sentimental Value,https://www.imdb.com/title/tt27714581/?ref_=ev_csegosc_nom,2026,1,0,1,0,1,0,1,0,0,0,0,75,4,0,5,0,6,2,6,0,0,0,0,0,0,0,8,1,1,0,9,2,16,8,82,12,17,5,12,3,4,29,20,2,12,1,9,2,1,1,0,0,108,44
Sinners,https://www.imdb.com/title/tt31193180/?ref_=ev_csegosc_nom,2026,1,0,1,0,1,0,1,0,1,1,0,43,3,1,4,3,2,0,10,11,0,0,0,0,0,1,11,2,2,0,4,2,36,2,129,59,22,11,8,1,18,32,38,8,29,30,16,0,2,0,1,0,112,83
Train Dreams,https://www.imdb.com/title/tt29768334/?ref_=ev_csegosc_nom,2026,1,0,0,0,0,0,1,0,0,0,0,42,4,0,2,1,10,0,9,4,1,0,2,0,0,0,5,0,6,1,9,2,25,4,93,25,6,12,13,6,11,39,32,7,6,0,9,4,1,0,0,0,71,45
The Secret Agent,https://www.imdb.com/title/tt27847051/?ref_=ev_csegosc_nom,2026,0,0,0,0,1,0,0,0,0,0,0,77,2,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,18,5,19,1,4,1,0,0,10,55,5,1,0,0,4,2,0,0,0,0,93,88
Bugonia,https://www.imdb.com/title/tt12300742/?ref_=ev_csegosc_nom,2026,1,0,0,0,1,0,1,0,0,0,0,26,7,1,8,1,8,1,7,2,0,0,0,0,3,0,7,1,5,0,6,2,33,5,125,38,17,6,6,1,1,9,31,10,18,5,9,0,2,0,4,4,81,33
