title,url,year,critics_choice_nom,critics_choice_win,bafta_nom,bafta_win,golden_globes_nom,golden_globes_win,pga_nom,pga_win,sag_nom,sag_win,oscar_win,cast_row_count,maj_academy_awards_usa_noms,maj_academy_awards_usa_wins,maj_bafta_awards_noms,maj_bafta_awards_wins,maj_golden_globes_usa_noms,maj_golden_globes_usa_wins,maj_actor_awards_noms,maj_actor_awards_wins,maj_directors_guild_of_america_usa_noms,maj_directors_guild_of_america_usa_wins,maj_writers_guild_of_america_usa_noms,maj_writers_guild_of_america_usa_wins,maj_pga_awards_noms,maj_pga_awards_wins,maj_critics_choice_awards_noms,maj_critics_choice_awards_wins,maj_film_independent_spirit_awards_noms,maj_film_independent_spirit_awards_wins,maj_satellite_awards_noms,maj_satellite_awards_wins,grp_prediction_online_noms,grp_prediction_online_wins,grp_us_regional_critics_noms,grp_us_regional_critics_wins,grp_national_critics_noms,grp_national_critics_wins,grp_international_film_noms,grp_international_film_wins,grp_major_festival_noms,grp_major_festival_wins,grp_television_noms,grp_television_wins,grp_audience_pop_noms,grp_audience_pop_wins,grp_genre_noms,grp_genre_wins,grp_voice_or_animation_noms,grp_voice_or_animation_wins,grp_negative_noms,grp_negative_wins,grp_other_noms,grp_other_wins
Nomadland,https://www.imdb.com/title/tt9770150/?ref_=ev_csegosc_nom,2021,1,1,1,1,1,1,1,1,0,0,1,260,3,4,4,4,6,1,5,3,0,0,0,0,1,2,3,3,6,4,6,3,20,12,50,58,14,12,6,3,0,6,11,10,1,1,5,1,2,0,2,0,35,30
Mank,https://www.imdb.com/title/tt10618286/?ref_=ev_csegosc_nom,2021,1,0,0,0,1,0,1,0,0,0,0,155,3,1,2,2,4,1,9,2,0,0,0,0,0,0,5,3,2,0,3,5,25,7,50,22,14,6,11,6,28,58,35,9,12,2,5,4,5,3,3,0,77,93
The Trial of the Chicago 7,https://www.imdb.com/title/tt1070874/?ref_=ev_csegosc_nom,2021,1,0,1,0,1,0,1,0,1,1,0,153,6,2,6,6,12,5,21,14,1,0,1,1,1,0,7,3,4,2,10,8,68,29,107,51,26,19,9,6,39,57,53,19,24,1,18,1,3,0,1,2,101,108
Promising Young Woman,https://www.imdb.com/title/tt9620292/?ref_=ev_csegosc_nom,2021,1,0,1,0,1,0,1,0,0,0,0,42,4,1,5,3,10,0,19,6,1,1,0,2,1,0,11,2,3,5,13,5,61,9,110,69,24,14,15,4,8,19,49,13,15,4,8,1,11,6,1,0,79,60
Minari,https://www.imdb.com/title/tt10633456/?ref_=ev_csegosc_nom,2021,1,0,0,0,0,0,1,0,1,0,0,32,1,1,1,1,0,0,8,1,0,0,0,0,0,0,2,1,2,1,2,0,11,4,35,31,6,7,0,0,8,37,3,2,0,0,5,1,2,2,0,0,60,49
Sound of Metal,https://www.imdb.com/title/tt5363618/?ref_=ev_csegosc_nom,2021,1,0,0,0,0,0,1,0,0,0,0,33,2,0,3,0,2,0,3,0,0,0,0,0,0,0,2,0,1,2,0,1,17,4,41,34,14,5,12,2,11,18,10,3,3,1,3,1,0,0,0,0,38,21
Judas and the Black Messiah,https://www.imdb.com/title/tt9784798/?ref_=ev_csegosc_nom,2021,0,0,0,0,0,0,1,0,0,0,0,165,2,1,5,2,5,2,19,6,0,0,0,0,0,0,5,1,3,1,4,2,35,6,32,29,12,5,5,2,16,28,36,9,7,0,2,0,1,1,0,0,70,46
The Father,https://www.imdb.com/title/tt10272386/?ref_=ev_csegosc_nom,2021,0,0,1,0,1,0,0,0,0,0,0,11,5,2,6,6,6,2,9,1,0,0,0,0,4,0,7,1,0,0,4,3,14,5,70,29,20,12,10,14,2,21,32,13,5,0,7,6,0,0,2,0,72,48
Parasite,https://www.imdb.com/title/tt6751668/?ref_=ev_csegosc_nom,2020,1,0,1,0,0,0,1,0,1,1,1,91,0,1,1,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,15,34,14,9,2,1,1,1,1,7,2,11,0,0,1,0,0,0,0,0,93,87
Once Upon a Time... in Hollywood,https://www.imdb.com/title/tt7131622/?ref_=ev_csegosc_nom,2020,1,1,1,0,1,1,1,0,1,0,0,243,19,5,19,6,26,11,49,4,3,2,2,1,3,2,18,8,10,5,22,6,166,27,240,84,50,45,27,10,29,102,111,21,66,15,41,20,7,6,17,6,297,227
1917,https://www.imdb.com/title/tt8579674/?ref_=ev_csegosc_nom,2020,1,0,1,1,1,1,1,1,0,0,0,117,2,1,8,4,5,2,13,4,0,0,0,0,0,1,4,2,1,0,9,1,24,14,37,24,15,6,19,7,1,24,35,15,7,0,3,1,2,2,0,0,41,35
Marriage Story,https://www.imdb.com/title/tt7653254/?ref_=ev_csegosc_nom,2020,1,0,0,0,1,0,1,0,0,0,0,76,7,1,7,2,13,6,18,2,1,3,8,4,0,0,12,2,5,9,10,1,69,11,104,56,31,15,3,3,1,25,51,15,13,13,13,6,3,1,3,0,102,73
Joker,https://www.imdb.com/title/tt7286456/?ref_=ev_csegosc_nom,2020,1,0,1,0,1,0,1,0,0,0,0,184,7,1,7,1,6,3,30,8,0,0,2,0,3,0,9,2,1,1,5,2,60,14,77,24,26,15,5,1,10,30,46,10,12,4,8,1,6,3,2,0,105,67
Jojo Rabbit,https://www.imdb.com/title/tt2584384/?ref_=ev_csegosc_nom,2020,1,0,0,0,1,0,1,0,1,0,0,37,5,2,7,3,8,1,14,3,1,0,4,2,5,0,13,2,3,2,7,2,44,7,132,40,29,7,9,3,17,58,39,16,22,8,15,6,4,4,2,1,99,59
Little Women,https://www.imdb.com/title/tt3281548/?ref_=ev_csegosc_nom,2020,1,0,0,0,0,0,1,0,0,0,0,139,12,3,13,2,12,7,19,1,0,0,1,0,3,0,18,4,4,3,16,2,103,22,205,99,61,40,25,7,22,55,60,18,30,7,22,3,2,1,1,1,167,141
Ford v Ferrari,https://www.imdb.com/title/tt1950186/?ref_=ev_csegosc_nom,2020,1,0,0,0,0,0,1,0,0,0,0,204,7,3,7,0,10,3,29,3,0,0,3,0,3,0,9,4,3,2,7,4,38,9,61,35,24,10,10,3,10,35,40,3,23,11,19,4,0,0,0,0,63,62
The Irishman,https://www.imdb.com/title/tt1302006/?ref_=ev_csegosc_nom,2020,1,0,1,0,1,0,1,0,1,0,0,260,11,3,9,2,16,3,54,14,0,1,1,0,5,0,9,0,3,1,9,4,61,9,74,28,33,28,4,2,19,55,67,22,32,5,17,4,1,0,10,2,103,104
Green Book,https://www.imdb.com/title/tt6966692/?ref_=ev_csegosc_nom,2019,1,0,1,0,1,1,1,1,0,0,1,107,3,6,8,1,5,3,8,5,0,0,2,0,0,2,7,2,2,1,7,2,34,8,61,46,12,13,6,3,4,32,18,2,5,2,8,1,8,4,2,0,41,44
BlacKkKlansman,https://www.imdb.com/title/tt7349662/?ref_=ev_csegosc_nom,2019,1,0,1,0,1,0,1,0,1,0,0,60,2,1,2,0,5,2,19,5,0,0,0,0,1,0,5,0,3,0,7,2,51,3,36,30,15,11,0,0,1,23,41,9,25,5,4,1,0,0,3,3,57,35
Black Panther,https://www.imdb.com/title/tt1825683/?ref_=ev_csegosc_nom,2019,1,0,0,0,1,0,1,0,1,1,0,144,2,2,7,4,6,3,20,25,1,0,2,0,1,3,4,5,4,4,7,2,73,20,86,70,20,26,17,7,19,39,83,20,47,16,16,5,4,0,2,1,124,118
Bohemian Rhapsody,https://www.imdb.com/title/tt1727824/?ref_=ev_csegosc_nom,2019,0,0,0,0,1,1,1,0,1,0,0,139,0,2,7,3,2,1,16,5,0,0,0,0,0,0,1,1,0,0,2,2,14,6,20,7,2,3,4,2,12,16,28,13,24,5,7,2,1,0,6,3,38,27
The Favourite,https://www.imdb.com/title/tt5083738/?ref_=ev_csegosc_nom,2019,1,0,1,0,1,0,1,0,0,0,0,64,2,2,6,4,3,1,4,2,0,0,0,0,5,0,7,0,1,0,4,5,27,17,99,55,20,9,17,11,0,18,25,15,19,4,5,1,2,0,0,0,75,50
Roma,https://www.imdb.com/title/tt6155172/?ref_=ev_csegosc_nom,2019,1,1,1,1,0,0,1,0,0,0,0,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,2,13,3,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,21,10
A Star Is Born,https://www.imdb.com/title/tt1517451/?ref_=ev_csegosc_nom,2019,1,0,1,0,1,0,1,0,1,0,0,141,6,1,4,3,9,4,14,6,2,2,4,2,4,0,8,2,4,2,11,3,59,9,99,31,29,13,5,0,8,23,45,18,54,9,7,4,2,1,5,2,124,73
Vice,https://www.imdb.com/title/tt6266538/?ref_=ev_csegosc_nom,2019,1,0,0,0,1,0,1,0,0,0,0,237,17,4,18,4,19,7,34,8,0,0,4,2,1,1,15,6,4,5,23,7,106,32,171,88,54,35,29,5,13,55,124,21,73,21,27,11,10,3,9,3,163,148
The Shape of Water,https://www.imdb.com/title/tt5580390/?ref_=ev_csegosc_nom,2018,1,1,1,0,1,0,1,1,0,0,1,53,9,2,7,2,8,3,10,7,0,1,1,0,1,1,8,2,7,2,9,7,86,9,148,57,44,21,20,6,14,44,30,5,2,1,25,15,0,0,0,0,110,84
Call Me by Your Name,https://www.imdb.com/title/tt5726616/?ref_=ev_csegosc_nom,2018,1,0,1,0,1,0,1,0,0,0,0,15,2,0,2,0,3,0,5,2,0,0,0,0,1,0,3,0,2,2,1,1,37,8,51,16,17,7,5,0,0,8,9,0,3,0,1,1,0,0,0,0,12,20
Darkest Hour,https://www.imdb.com/title/tt4555426/?ref_=ev_csegosc_nom,2018,1,0,1,0,0,0,0,0,0,0,0,118,3,1,9,4,5,1,11,4,0,0,0,0,0,0,3,3,7,1,6,4,32,4,31,28,14,8,20,15,5,13,22,5,7,1,6,5,2,3,3,0,37,24
Dunkirk,https://www.imdb.com/title/tt5013056/?ref_=ev_csegosc_nom,2018,1,0,1,0,1,0,1,0,0,0,0,88,6,3,7,7,10,1,8,1,0,0,0,0,0,0,4,1,2,0,11,2,32,6,67,15,24,19,27,15,8,15,25,4,11,7,10,3,2,0,3,0,45,28
